id,gender,monetary,recency,frequency,duration,purchase
10331,M,235,14,1,14,0
10332,M,306,24,1,24,0
10333,F,280,30,2,34,0
10334,M,29,18,1,18,0
10335,F,88,10,2,16,0
10336,M,155,12,8,48,0
10337,F,231,8,1,8,0
10338,F,278,10,9,56,0
10339,F,71,6,3,16,0
10340,F,320,28,3,38,0
10341,F,112,16,1,16,0
10342,M,109,8,4,18,0
10343,F,285,20,1,20,0
10344,F,115,18,2,20,0
10345,F,234,4,2,10,0
10346,F,417,2,9,54,0
10347,F,105,8,7,40,0
10348,F,28,14,1,14,0
10349,F,97,20,1,20,0
10350,M,212,2,1,2,0
10351,F,49,26,1,26,0
10352,F,270,36,2,38,0
10353,M,317,10,3,28,0
10354,M,49,22,3,32,0
10355,M,257,14,12,76,0
10356,M,189,16,9,68,0
10357,F,211,8,10,42,0
10358,F,141,16,2,18,0
10359,M,343,10,7,32,0
10360,F,92,16,3,32,0
10361,M,73,24,2,30,0
10362,F,223,10,8,46,0
10363,M,310,32,2,40,0
10364,F,352,10,8,50,0
10365,F,161,14,1,14,0
10366,F,346,28,12,52,0
10367,F,55,26,1,26,0
10368,F,137,10,9,36,0
10369,F,33,14,2,18,0
10370,F,321,12,3,24,0
10371,F,220,8,2,10,0
10372,F,149,2,1,2,0
10373,F,291,14,1,14,0
10374,F,201,18,2,22,0
10375,M,302,6,1,6,0
10376,F,283,12,1,12,0
10377,F,174,26,8,50,0
10378,F,155,4,6,24,0
10379,F,114,16,2,22,0
10380,F,42,8,2,10,0
10381,F,207,4,7,22,1
10382,F,73,30,1,30,0
10383,F,383,28,12,88,0
10384,M,340,14,4,26,0
10385,F,305,6,1,6,0
10386,F,101,6,2,10,0
10387,M,352,10,10,50,0
10388,F,274,8,1,8,0
10389,F,376,14,9,54,0
10390,F,211,28,2,32,0
10391,F,143,14,9,38,0
10392,F,181,14,3,24,0
10393,F,106,8,2,10,0
10394,F,287,2,1,2,0
10395,F,181,16,5,38,0
10396,F,265,16,1,16,0
10397,F,254,8,2,12,0
10398,M,322,4,2,10,0
10399,F,169,20,1,20,0
10400,M,261,2,2,4,0
10401,F,355,16,5,28,0
10402,F,87,10,1,10,0
10403,F,307,14,2,20,0
10404,F,195,10,2,16,0
10405,M,43,24,2,26,0
10406,F,278,18,1,18,0
10407,F,310,2,1,2,0
10408,F,69,14,2,18,0
10409,F,233,30,8,54,0
10410,F,18,8,1,8,0
10411,F,210,2,3,20,0
10412,M,307,16,1,16,0
10413,M,323,14,9,52,0
10414,M,193,10,6,26,0
10415,M,246,10,2,14,0
10416,F,335,12,4,36,0
10417,M,265,26,2,32,0
10418,M,199,4,1,4,0
10419,M,386,26,12,94,0
10420,F,368,12,12,54,1
10421,F,381,16,10,54,0
10422,F,206,12,1,12,0
10423,F,128,6,1,6,0
10424,M,285,16,1,16,0
10425,F,419,12,8,48,0
10426,F,296,12,1,12,0
10427,F,206,26,1,26,0
10428,M,20,18,1,18,0
10429,F,281,14,12,66,0
10430,F,25,2,1,2,0
10431,F,274,16,1,16,0
10432,F,270,34,2,38,0
10433,F,239,14,2,22,1
10434,F,134,12,4,22,0
10435,F,102,14,2,20,0
10436,M,310,22,5,32,0
10437,F,368,14,11,62,0
10438,F,378,10,7,50,0
10439,M,305,6,9,40,0
10440,F,458,10,12,44,1
10441,F,235,4,1,4,0
10442,F,192,16,10,42,0
10443,F,375,16,11,60,0
10444,F,235,14,1,14,0
10445,M,313,34,1,34,0
10446,M,111,16,2,24,0
10447,F,249,22,11,84,0
10448,F,118,2,1,2,0
10449,F,167,8,2,16,0
10450,F,148,22,3,30,0
10451,M,216,28,2,36,0
10452,F,197,2,6,38,0
10453,F,154,10,7,46,1
10454,F,252,14,1,14,0
10455,F,186,36,2,40,0
10456,M,304,2,1,2,0
10457,F,283,12,2,18,0
10458,M,228,30,2,38,0
10459,M,26,20,1,20,0
10460,F,182,14,2,20,0
10461,M,160,10,6,28,1
10462,F,189,28,11,88,0
10463,F,261,18,1,18,0
10464,M,51,34,2,38,0
10465,F,196,16,4,38,0
10466,M,245,6,7,34,0
10467,M,136,12,2,16,0
10468,M,111,14,1,14,0
10469,F,258,14,7,44,0
10470,F,445,26,11,48,0
10471,M,148,8,1,8,0
10472,F,179,14,6,36,0
10473,F,247,24,2,26,0
10474,M,46,10,1,10,0
10475,F,303,2,2,6,0
10476,M,137,22,2,30,0
10477,M,123,12,2,16,1
10478,F,310,12,1,12,0
10479,F,210,10,12,42,0
10480,F,118,8,2,10,0
10481,F,350,26,4,44,0
10482,M,283,12,1,12,0
10483,F,371,16,9,48,0
10484,F,329,12,8,36,0
10485,M,288,14,2,20,0
10486,F,284,16,2,20,0
10487,F,128,8,1,8,0
10488,F,185,14,1,14,0
10489,F,286,4,1,4,0
10490,F,273,2,1,2,0
10491,F,284,20,4,34,0
10492,F,142,16,1,16,0
10493,M,199,16,5,36,0
10494,M,289,36,4,46,0
10495,F,297,16,1,16,0
10496,F,70,14,2,18,0
10497,F,202,2,11,46,0
10498,F,317,2,5,26,0
10499,M,260,2,1,2,0
10500,F,51,14,3,28,0
10501,M,121,10,1,10,0
10502,F,150,10,4,22,0
10503,M,165,4,5,14,1
10504,F,48,14,3,30,1
10505,F,350,4,5,16,0
10506,F,235,14,1,14,0
10507,M,218,4,2,6,1
10508,F,193,16,1,16,0
10509,F,188,12,1,12,0
10510,F,210,10,2,12,0
10511,F,158,16,1,16,0
10512,F,316,32,2,36,0
10513,F,25,10,1,10,0
10514,F,246,10,2,16,0
10515,M,162,20,1,20,0
10516,M,168,36,2,44,0
10517,F,79,8,5,32,0
10518,M,273,10,2,12,1
10519,M,281,14,1,14,0
10520,F,221,4,1,4,0
10521,F,390,10,11,32,0
10522,M,69,4,2,8,0
10523,F,107,8,1,8,0
10524,F,154,4,10,44,0
10525,F,442,8,12,76,0
10526,F,171,16,2,22,1
10527,F,189,4,8,40,0
10528,F,180,12,2,14,0
10529,F,170,16,1,16,0
10530,F,169,14,11,40,0
10531,M,94,2,2,10,0
10532,F,310,18,1,18,0
10533,F,212,16,1,16,0
10534,M,270,8,1,8,0
10535,M,68,10,2,18,0
10536,M,174,16,9,56,0
10537,F,127,10,2,14,0
10538,F,208,2,7,26,0
10539,F,159,36,1,36,0
10540,F,250,10,1,10,1
10541,M,197,16,1,16,0
10542,M,178,10,7,52,0
10543,F,235,10,9,40,1
10544,F,125,4,1,4,0
10545,M,100,22,2,26,1
10546,F,41,8,1,8,1
10547,M,366,10,10,38,0
10548,F,327,10,10,60,1
10549,F,310,14,4,24,0
10550,F,249,6,12,60,0
10551,F,119,8,1,8,0
10552,F,30,8,2,14,0
10553,F,126,16,8,48,0
10554,M,130,36,2,38,0
10555,F,76,20,1,20,0
10556,F,335,8,11,52,0
10557,M,274,34,2,40,0
10558,M,252,12,2,18,1
10559,F,161,8,4,24,0
10560,F,299,12,3,26,0
10561,F,146,4,1,4,0
10562,F,287,22,2,30,0
10563,F,264,10,1,10,0
10564,F,222,2,2,6,1
10565,M,294,10,3,20,0
10566,M,431,28,12,68,0
10567,F,135,16,8,60,0
10568,F,148,16,1,16,0
10569,F,125,14,2,16,0
10570,F,247,14,4,26,0
10571,M,242,10,3,26,0
10572,M,227,12,1,12,0
10573,F,87,32,2,40,0
10574,F,35,18,1,18,0
10575,F,85,14,2,18,0
10576,F,286,34,2,40,0
10577,M,348,18,4,40,0
10578,F,19,14,1,14,0
10579,M,230,10,2,14,0
10580,F,296,6,1,6,0
10581,F,244,10,1,10,0
10582,F,140,2,1,2,1
10583,F,104,8,2,16,0
10584,M,301,28,2,32,0
10585,F,307,24,9,46,0
10586,M,59,14,2,22,0
10587,F,91,10,2,12,0
10588,F,315,12,9,46,0
10589,M,45,12,1,12,0
10590,F,299,12,1,12,0
10591,F,221,8,9,30,1
10592,F,201,8,1,8,0
10593,M,236,4,1,4,0
10594,F,193,16,2,20,0
10595,M,238,26,5,42,0
10596,F,297,20,11,60,0
10597,F,275,2,1,2,0
10598,F,204,4,4,16,0
10599,F,249,16,1,16,0
10600,F,262,12,2,16,0
10601,F,237,30,3,44,0
10602,F,18,30,1,30,0
10603,F,81,6,2,14,0
10604,F,49,14,2,18,0
10605,F,284,14,2,22,0
10606,F,86,12,2,16,0
10607,F,225,6,3,12,0
10608,F,193,10,2,14,0
10609,F,112,36,1,36,0
10610,F,331,10,7,48,1
10611,M,253,10,1,10,0
10612,M,277,14,1,14,0
10613,M,274,32,6,52,0
10614,F,121,14,6,36,0
10615,M,140,24,5,48,0
10616,F,167,12,1,12,0
10617,M,45,14,2,22,1
10618,F,254,4,11,46,0
10619,F,49,10,2,14,0
10620,F,265,10,4,26,0
10621,F,364,4,6,30,0
10622,F,57,6,1,6,0
10623,M,235,16,2,24,0
10624,F,59,16,1,16,0
10625,F,149,6,3,18,0
10626,M,272,14,1,14,0
10627,F,232,8,1,8,0
10628,F,320,10,12,38,0
10629,F,99,16,1,16,0
10630,F,260,18,2,24,0
10631,F,236,2,1,2,0
10632,M,75,14,3,30,0
10633,F,294,24,2,30,0
10634,F,281,10,9,48,0
10635,F,215,4,3,20,0
10636,F,153,2,3,12,0
10637,F,58,14,2,18,0
10638,M,87,14,1,14,0
10639,F,137,12,2,18,0
10640,F,30,6,2,8,0
10641,F,177,10,2,14,0
10642,M,221,24,10,72,0
10643,M,35,10,2,16,0
10644,F,302,6,5,20,0
10645,M,105,12,7,36,0
10646,M,226,26,11,88,0
10647,M,309,4,2,8,1
10648,M,145,14,2,16,0
10649,F,138,22,1,22,0
10650,F,195,12,2,16,0
10651,M,185,4,1,4,0
10652,F,79,12,1,12,0
10653,F,109,32,1,32,0
10654,M,138,12,1,12,0
10655,F,304,12,1,12,0
10656,F,280,10,1,10,1
10657,F,187,2,3,14,0
10658,F,101,16,2,22,0
10659,F,221,16,1,16,0
10660,M,254,28,2,30,0
10661,F,244,12,1,12,0
10662,M,90,4,1,4,1
10663,M,217,6,2,10,0
10664,F,372,16,11,50,0
10665,F,396,4,9,24,0
10666,M,147,14,1,14,0
10667,F,98,12,1,12,0
10668,F,259,12,3,22,0
10669,F,58,10,2,16,0
10670,F,204,2,1,2,0
10671,F,175,28,6,46,0
10672,F,261,10,6,26,0
10673,F,161,10,9,52,0
10674,F,317,6,5,20,0
10675,F,65,12,1,12,0
10676,M,53,14,1,14,0
10677,F,401,4,9,56,0
10678,F,179,4,1,4,0
10679,M,331,4,7,28,1
10680,F,288,4,1,4,0
10681,F,309,4,2,10,0
10682,M,261,10,1,10,0
10683,F,374,8,5,36,0
10684,F,134,12,6,34,0
10685,M,289,28,1,28,0
10686,M,151,14,6,32,0
10687,M,178,26,8,56,0
10688,F,112,10,2,12,0
10689,F,380,18,9,48,0
10690,F,230,22,2,26,0
10691,F,62,8,1,8,0
10692,F,266,34,2,40,0
10693,F,294,28,1,28,0
10694,F,81,10,1,10,0
10695,F,328,12,9,46,0
10696,F,312,8,2,10,1
10697,F,130,32,2,34,1
10698,F,310,10,2,14,0
10699,F,354,14,9,46,0
10700,F,195,2,2,8,0
10701,F,306,14,2,20,0
10702,M,313,16,1,16,0
10703,F,169,10,2,18,0
10704,F,182,10,1,10,0
10705,F,242,4,1,4,0
10706,F,128,10,2,16,0
10707,F,234,12,1,12,0
10708,M,277,30,11,78,1
10709,F,49,4,3,14,0
10710,F,80,8,2,12,0
10711,F,244,2,2,8,0
10712,F,306,10,2,16,0
10713,F,178,24,3,32,0
10714,M,164,10,9,46,1
10715,F,152,16,1,16,0
10716,F,321,4,8,44,0
10717,M,29,4,1,4,0
10718,F,220,16,2,24,0
10719,F,195,6,11,58,0
10720,F,207,10,12,50,0
10721,F,292,32,2,40,0
10722,F,301,14,2,20,0
10723,F,215,2,8,36,1
10724,F,401,22,7,56,0
10725,M,42,14,1,14,0
10726,F,444,36,12,62,0
10727,F,195,6,2,10,0
10728,M,151,30,1,30,0
10729,F,389,30,8,54,0
10730,F,319,8,2,10,0
10731,F,172,14,5,38,1
10732,F,45,30,2,36,0
10733,M,208,16,12,44,0
10734,F,399,10,12,74,0
10735,F,139,2,2,8,0
10736,M,285,16,4,28,1
10737,M,300,2,6,30,0
10738,F,214,16,2,24,0
10739,F,184,26,8,58,0
10740,F,353,16,7,36,1
10741,M,262,18,2,22,0
10742,F,197,14,1,14,0
10743,F,240,20,1,20,0
10744,M,175,4,7,26,0
10745,F,250,16,4,36,0
10746,F,202,12,2,16,0
10747,M,386,6,11,36,1
10748,M,118,14,1,14,0
10749,M,33,10,2,16,0
10750,M,237,14,1,14,0
10751,F,94,22,6,42,0
10752,F,428,2,9,22,1
10753,F,271,14,1,14,0
10754,F,396,12,12,68,1
10755,F,253,8,3,24,0
10756,M,228,2,8,24,0
10757,F,224,14,2,20,0
10758,M,42,10,2,16,0
10759,M,208,4,1,4,0
10760,M,171,16,5,44,0
10761,F,141,10,1,10,0
10762,F,25,2,1,2,0
10763,F,158,18,7,34,0
10764,M,253,2,1,2,0
10765,M,368,14,7,32,0
10766,F,259,14,9,32,1
10767,F,196,24,1,24,0
10768,F,233,10,2,18,0
10769,F,148,16,5,30,0
10770,M,52,16,2,22,0
10771,M,96,8,1,8,0
10772,F,148,10,8,36,0
10773,F,172,6,1,6,0
10774,F,319,32,2,36,0
10775,F,258,14,5,36,0
10776,F,40,14,1,14,0
10777,M,315,4,10,26,1
10778,M,262,10,1,10,0
10779,F,177,16,1,16,0
10780,F,377,8,11,36,1
10781,F,122,16,1,16,0
10782,F,254,18,10,74,0
10783,M,307,10,12,58,1
10784,M,349,4,9,54,0
10785,M,103,8,1,8,1
10786,F,204,14,2,22,1
10787,M,252,16,7,54,0
10788,M,411,10,10,48,0
10789,F,129,22,1,22,0
10790,F,239,8,7,30,0
10791,M,129,12,1,12,0
10792,F,266,12,6,44,0
10793,M,231,16,1,16,0
10794,F,216,16,4,38,0
10795,F,453,14,12,82,0
10796,F,161,10,1,10,1
10797,F,265,32,3,46,0
10798,F,266,14,5,26,0
10799,F,91,16,2,18,0
10800,F,240,12,1,12,0
10801,F,296,10,9,58,0
10802,F,419,8,10,50,0
10803,M,187,10,7,30,1
10804,F,273,12,3,24,0
10805,M,221,18,1,18,0
10806,F,165,14,2,16,0
10807,F,159,8,1,8,0
10808,M,271,10,2,18,0
10809,F,295,16,5,32,0
10810,F,188,34,2,40,0
10811,M,95,10,2,14,0
10812,M,130,16,1,16,0
10813,F,183,16,4,24,0
10814,M,263,26,2,28,0
10815,F,330,6,9,26,0
10816,F,278,12,2,18,0
10817,F,49,4,1,4,0
10818,M,165,2,11,48,1
10819,F,163,10,1,10,0
10820,F,128,20,6,40,0
10821,F,90,24,2,32,0
10822,M,173,6,2,14,0
10823,F,257,2,8,30,0
10824,M,160,14,5,30,0
10825,F,169,6,2,8,0
10826,M,314,10,5,24,0
10827,F,198,4,4,20,0
10828,F,306,16,2,20,0
10829,F,66,10,1,10,1
10830,F,139,16,2,18,0
10831,F,311,14,6,42,0
10832,F,317,6,5,22,0
10833,F,318,14,9,66,1
10834,F,116,2,3,16,0
10835,M,228,4,8,32,0
10836,M,100,8,1,8,0
10837,F,365,14,5,34,0
10838,F,251,8,6,44,0
10839,F,399,16,12,42,0
10840,F,442,16,11,70,0
10841,F,247,20,4,30,0
10842,M,320,14,11,40,0
10843,M,73,18,1,18,0
10844,F,288,22,1,22,0
10845,M,270,28,7,56,0
10846,M,228,14,1,14,0
10847,F,213,14,10,60,0
10848,F,211,4,12,66,0
10849,M,249,6,6,22,1
10850,M,194,12,10,62,0
10851,F,413,34,9,74,0
10852,F,63,16,4,30,0
10853,M,348,10,4,24,0
10854,F,343,4,12,50,0
10855,F,136,8,2,14,0
10856,M,212,12,11,56,0
10857,M,389,12,10,62,0
10858,F,307,10,3,16,0
10859,M,194,4,12,62,1
10860,F,299,14,2,16,0
10861,F,129,14,1,14,0
10862,F,124,10,8,54,0
10863,F,276,10,8,42,0
10864,F,273,2,2,10,0
10865,F,308,16,1,16,0
10866,M,347,30,12,70,0
10867,F,206,16,1,16,0
10868,F,397,4,11,60,0
10869,F,162,12,2,14,0
10870,F,365,2,6,26,0
10871,F,25,6,1,6,0
10872,F,121,6,4,16,0
10873,M,241,8,3,16,0
10874,F,274,14,11,68,0
10875,M,251,4,8,32,0
10876,M,176,6,7,20,0
10877,F,322,12,8,36,0
10878,F,99,10,3,22,0
10879,M,95,8,2,16,0
10880,F,15,12,1,12,0
10881,M,347,16,8,42,0
10882,F,352,14,10,62,0
10883,F,182,4,10,34,0
10884,M,251,12,7,54,0
10885,M,180,8,10,66,0
10886,F,420,4,9,56,0
10887,F,375,8,8,52,0
10888,F,146,14,2,16,0
10889,M,157,12,2,20,0
10890,F,335,4,6,32,1
10891,F,230,36,2,44,0
10892,M,238,12,4,22,0
10893,F,295,8,2,10,0
10894,F,247,22,12,60,0
10895,M,427,30,9,78,0
10896,F,201,6,1,6,0
10897,F,123,16,1,16,0
10898,F,129,14,2,16,0
10899,F,314,2,2,4,0
10900,F,281,8,1,8,0
10901,F,83,24,2,32,0
10902,F,359,14,10,34,0
10903,M,64,6,2,8,0
10904,F,68,2,1,2,0
10905,F,293,20,1,20,0
10906,M,54,12,2,18,0
10907,F,41,16,1,16,0
10908,M,251,12,1,12,0
10909,F,204,2,8,48,0
10910,M,95,2,1,2,0
10911,F,176,34,1,34,0
10912,M,254,28,1,28,0
10913,M,126,28,1,28,0
10914,F,314,6,2,8,0
10915,F,308,16,1,16,0
10916,F,200,2,8,46,0
10917,F,137,10,2,16,0
10918,F,291,16,2,24,0
10919,F,289,14,1,14,0
10920,F,107,2,2,8,0
10921,F,229,10,12,40,0
10922,F,256,32,9,60,0
10923,F,314,10,1,10,0
10924,F,193,16,8,38,0
10925,M,121,10,1,10,0
10926,F,65,16,4,30,0
10927,F,159,10,9,46,1
10928,F,279,10,1,10,0
10929,F,274,12,9,60,1
10930,M,44,8,2,10,0
10931,F,166,16,1,16,0
